STT,Ngữ liệu,Cách đọc,Nghĩa,Câu ví dụ,Dịch,Link (JP),Link (VN),ô đỏ,: bổ sung thông tin
114,歴史的な,れきしてきな,mang tính lịch sử,この訪問は、シアトルで歴史的な出来事が起こった直後に行われました。,Chuyến thăm diễn ra ngay sau sự kiện lịch sử tại Seattle,https://www.vietnam.vn/ja/doanh-nghiep-viet-khang-dinh-khat-vong-hoi-nhap-go-cua-san-chung-khoan-lon-nhat-the-gioi,https://baochinhphu.vn/doanh-nghiep-viet-khang-dinh-khat-vong-hoi-nhap-go-cua-san-chung-khoan-lon-nhat-the-gioi-102250924020758608.htm,,
115,僅かな,わずかな,"một chút, số lượng nhỏ",えさ場の状況や気温の僅かな変化で生息域が変わるので、注意深く観察を続ける必要がある。,"Vì môi trường sống của chúng thay đổi theo tình trạng nơi kiếm ăn và sự thay đổi nhỏ của nhiệt độ, nên cần phải tiếp tục quan sát cẩn thận.",https://www3.nhk.or.jp/news/html/20250714/k10014862911000.html,,,
116,割高な,わりだかな,giá cao,ウォール街の3営業日連続の下落も市場に影響を与えた。2025年4月以来の上昇局面における株価の割高感への懸念が、引き続き市場心理を圧迫した。,Thị trường cũng chịu tác động khi chứng kiến phố Wall giảm điểm phiên thứ ba liên tiếp. Những lo ngại về việc định giá cổ phiếu quá cao sau đợt tăng kéo dài từ tháng 4/2025 tiếp tục gây sức ép lên tâm lý thị trường.,https://www.vietnam.vn/ja/thi-truong-chau-a-lao-doc-do-lo-ngai-ve-trien-vong-lai-suat-cua-my,https://baotintuc.vn/thi-truong-tien-te/thi-truong-chau-a-lao-doc-do-lo-ngai-ve-trien-vong-lai-suat-cua-my-20250926162111455.htm,,
117,割安,わりやす,Giá rẻ,割安な備蓄米の需要は一定程度あることから、会社では国に対して販売期限を延長するよう求めています。,Do nhu cầu về gạo dự trữ giá rẻ ở mức nhất định nên công ty đang đề nghị chính phủ gia hạn thời gian bán.,https://www3.nhk.or.jp/news/html/20250818/k10014896681000.html,,,
118,精神的な,せいしんてきな,Về mặt tinh thần,アメリカでは若者がAIとの対話を重ねる中で精神的に依存する事態も起きていて、オープンAIは親が子どもの利用状況を管理できる仕組みを導入すると明らかにしています。,"Ở Mỹ, trước tình trạng người trẻ bị phụ thuộc về mặt tinh thần trong khi tương tác với AI, OpenAI cũng đã làm rõ họ sẽ áp dụng tính năng cho phép phụ huynh quản lý tình trạng sử dụng của con cái",https://www3.nhk.or.jp/news/html/20250909/k10014917161000.html,,,
119,さまざまな,さまざまな,Đa dạng,大変無念な思いだが、政府として引き続きさまざまな政策課題への対応に真摯に取り組んでいきたい。,"Tôi cảm thấy vô cùng tiếc nuối, nhưng với tư cách là chính phủ, chúng tôi sẽ tiếp tục nghiêm túc đối phó với nhiều vấn đề chính sách đa dạng.",https://www3.nhk.or.jp/news/html/20250908/k10014916151000.html,,,
120,リーズナブルな,リーズナブルな,"Hợp lý, phải chăng",...今後も規制は厳格化されていくし、リーズナブルな価格で提供し続けられなくなることが、生産終了の要因だ」と率直に語った。,"Ông thẳng thắn cho biết: “Trong thời gian tới, các quy định sẽ ngày càng nghiêm ngặt hơn, và việc không thể tiếp tục cung cấp với mức giá hợp lý chính là nguyên nhân dẫn đến việc chấm dứt sản xuất.”",https://www3.nhk.or.jp/news/html/20250903/k10014910111000.html,,,
121,不正な,ふせいな,Bất hợp pháp,アメリカのAI新興企業の「アンソロピック」に著作物を不正に使われたとして作家らが訴えていた裁判で、会社側が、少なくとも日本円にして2200億円を支払って和解することで合意しました。,"Trong vụ kiện mà các nhà văn cáo buộc công ty khởi nghiệp AI của Mỹ “Anthropic” đã sử dụng tác phẩm của họ một cách trái phép, phía công ty đã đồng ý dàn xếp bằng cách chi trả ít nhất tương đương 220 tỷ yên.",https://www3.nhk.or.jp/news/html/20250906/k10014915231000.html,,,
122,不注意な,ふちゅういな,"bất cẩn, coi thường",サントリーから国内での合法性に疑いを持たれるようなサプリメントを購入したことは不注意であり、役職に堪えないという認識を示された。,"Việc mua thực phẩm chức năng từ Suntory mà trong nước bị nghi ngờ về tính hợp pháp đã bị xem là một sự bất cẩn, và người đó đã bày tỏ quan điểm rằng mình không còn xứng đáng với cương vị hiện tại.",https://www3.nhk.or.jp/news/html/20250903/k10014911061000.html,,,
123,世界的な,せかいてきな,Mang tính toàn cầu,債券市場では3日、世界的な金利上昇を背景に日本国債を売る動きが広がりました。,"Ngày 3, trên thị trường trái phiếu, do lãi suất toàn cầu tăng, đã xuất hiện làn sóng bán ra trái phiếu chính phủ Nhật Bản.",https://www3.nhk.or.jp/news/html/20250903/k10014911981000.html,,,
124,優良な,ゆうりょうな,"Tốt, xuất sắc",すでに全国各地で優良な取り組みが行われている。,"Hiện nay, trên khắp cả nước đã có nhiều sáng kiến, hoạt động tốt đang được triển khai.",https://www3.nhk.or.jp/news/html/20250905/k10014912481000.html,,,
125,全面的な,ぜんめんてきな,Toàn diện,第三者委員会による調査に全面的に協力していきます,Chúng tôi sẽ hợp tác toàn diện với cuộc điều tra do ủy ban độc lập (ủy ban bên thứ ba) tiến hành.,https://www3.nhk.or.jp/news/html/20250904/k10014912661000.html,,,
126,公正な,こうせいな,Công bằng,EU＝ヨーロッパ連合は5日、アメリカのIT大手グーグルが、自社の広告サービスが有利になる仕組みを設け、公正な競争を妨げたとして日本円でおよそ5000億円の制裁金を科したと発表しました。,"Liên minh châu Âu (EU) ngày 5 thông báo đã phạt tập đoàn công nghệ lớn của Mỹ là Google khoảng 500 tỷ yên, với lý do công ty này thiết lập cơ chế giúp dịch vụ quảng cáo của mình có lợi thế và cản trở cạnh tranh công bằng.",https://www3.nhk.or.jp/news/html/20250906/k10014915051000.html,,,
127,合法な,ごうほうな,hợp pháp,安全で合法なものを購入したと考えているが、サプリメントは使用しておらず、手元にもない,"Tôi tin rằng mình đã mua sản phẩm an toàn và hợp pháp, nhưng tôi chưa từng sử dụng thực phẩm chức năng đó và hiện cũng không còn giữ.",https://www3.nhk.or.jp/news/html/20250903/k10014911061000.html,,,
128,合理的な,ごうりてきな,"Hợp lý, có lý",金利がない世界では“じっとしていた方が合理的”ということもあったかもしれない。,"Trong một thế giới không có lãi suất, có lẽ việc “giữ nguyên, không làm gì” cũng là lựa chọn hợp lý.",https://www3.nhk.or.jp/news/html/20250905/k10014912481000.html,,,
129,同じな,おなじな,"Giống nhau, như nhau",ただ、黒字額を前の年の同じ月と比べると、6354億円縮小しました。,"Tuy nhiên, so với cùng tháng năm trước, mức thặng dư đã giảm 635,4 tỷ yên.",https://www3.nhk.or.jp/news/html/20250908/k10014916241000.html,,,
130,喫緊な,きっきんな,"Cấp bách, khẩn cấp",経営を立て直すには、こうした固定費の削減だけでなく、販売台数の回復に向けた商品力・ブランドイメージの強化も喫緊の課題だろう。,"Để tái thiết hoạt động kinh doanh, không chỉ cần cắt giảm những chi phí cố định như trên, mà việc tăng cường sức cạnh tranh của sản phẩm và củng cố hình ảnh thương hiệu nhằm phục hồi sản lượng bán ra cũng là một vấn đề cấp bách.",https://www3.nhk.or.jp/news/html/20250903/k10014910111000.html,,,
131,国際的な,こくさいてきな,Mang tính quốc tế,ベトジェット会長は、ベトナム企業を国際舞台に導き、ニューヨークの世界最大の証券取引所に上場し、国際的な資本動員チャネルを拡大し、国際金融地図におけるベトナムの地位を確固たるものにしたいとの希望を表明した。,"Chủ tịch Vietjet bày tỏ khát vọng đưa doanh nghiệp Việt Nam vươn ra sân chơi toàn cầu, hiện diện tại sàn chứng khoán lớn nhất thế giới ở New York, mở rộng kênh huy động vốn quốc tế và khẳng định vị thế Việt Nam trên bản đồ tài chính toàn cầu. ",https://www.vietnam.vn/ja/doanh-nghiep-viet-khang-dinh-khat-vong-hoi-nhap-go-cua-san-chung-khoan-lon-nhat-the-gioi,https://baochinhphu.vn/doanh-nghiep-viet-khang-dinh-khat-vong-hoi-nhap-go-cua-san-chung-khoan-lon-nhat-the-gioi-102250924020758608.htm,,
132,圧倒的な,あっとうてきな,"Áp đảo, vượt trộ",その圧倒的なスペックで世界のファンを魅了をしてきたスポーツカーだ。,Đó là chiếc xe thể thao đã chinh phục người hâm mộ trên khắp thế giới nhờ những thông số kỹ thuật vượt trội của nó.,https://www3.nhk.or.jp/news/html/20250903/k10014910111000.html,,,
133,将来的な,しょうらいてきな,Trong tương lai,政府はコメを増産する方針を打ち出す一方、コメ余りを防ぐため、将来的に輸出の拡大が重要になるとしています。,"Chính phủ, trong khi đưa ra chính sách tăng sản lượng gạo, cũng cho rằng để tránh tình trạng dư thừa gạo, việc mở rộng xuất khẩu trong tương lai sẽ trở nên quan trọng.",https://www3.nhk.or.jp/news/html/20250905/k10014914531000.html,,,
134,巨額な,きょがくな,số tiền lớn,アメリカのメディアは巨額の報酬によってマスク氏を引き止めるねらいがあると伝えています。,Truyền thông Mỹ đưa tin rằng mục đích là nhằm giữ chân ông Musk bằng mức thù lao khổng lồ.,https://www3.nhk.or.jp/news/html/20250906/k10014915031000.html,,,
135,徹底的な,てっていてきな,"Triệt để, kỹ lưỡng",延滞債権、不良債権、リスク管理済みの債権については、定期的にモニタリングを行い、徹底的に回収する必要がある。,"Các khoản nợ quá hạn, nợ xấu, nợ đã xử lý rủi ro cần được theo dõi thường xuyên và thu hồi triệt để.",https://www.vietnam.vn/ja/nhieu-vi-pham-tai-agribank-khu-cong-nghiep-song-than,https://doanhnghiepvn.vn/kinh-te/nhieu-vi-pham-tai-agribank-khu-cong-nghiep-song-than/20251007014226558,,
,定期的な,ていきてきな,"định kì, thường xuyên",延滞債権、不良債権、リスク管理済みの債権については、定期的にモニタリングを行い、徹底的に回収する必要がある。,"Các khoản nợ quá hạn, nợ xấu, nợ đã xử lý rủi ro cần được theo dõi thường xuyên và thu hồi triệt để.",https://www.vietnam.vn/ja/nhieu-vi-pham-tai-agribank-khu-cong-nghiep-song-than,https://doanhnghiepvn.vn/kinh-te/nhieu-vi-pham-tai-agribank-khu-cong-nghiep-song-than/20251007014226558,,
137,恣意的な,しいてきな,"ùy tiện, độc đoán",本社やグループ会社の経営陣の関与や認識のもとで、資産評価の見直しの時期を恣意的に検討するなど、不適切な会計処理を疑わせる資料が複数見つかりました。,"Đã phát hiện nhiều tài liệu cho thấy khả năng có hành vi kế toán không phù hợp, chẳng hạn như việc xem xét lại thời điểm đánh giá tài sản một cách tùy tiện dưới sự tham gia hoặc nhận thức của ban lãnh đạo trụ sở chính và các công ty trong tập đoàn.",https://www3.nhk.or.jp/news/html/20250904/k10014912661000.html,,,
138,持続可能な,じぞくかのうな,Bền vững,CEOのTruong Hien氏とThe Highは、リーダーが自らの評判とストーリーをブランドに反映させることで、持続可能で深みのあるビジネス戦略を構築できることを明確に示しています。,"CEO Trương Hiền và The High là minh chứng rõ ràng cho thấy khi người đứng đầu sẵn sàng đặt uy tín và câu chuyện của mình vào thương hiệu, sẽ tạo ra một chiến lược kinh doanh bền vững và sâu sắc.",https://www.vietnam.vn/ja/the-high-don-bay-kinh-doanh-tu-loi-the-ceo-lam-dai-dien-thuong-hieu,https://vtv.vn/the-high-don-bay-kinh-doanh-tu-loi-the-ceo-lam-dai-dien-thuong-hieu-100250923170136642.htm,,
139,新たな,あらたな,mới mẻ,NYSEへの訪問は、ベトジェット、HDバンク、ベトナム企業に新たな機会をもたらすだけでなく、グローバル化の時代に繁栄しようと強く願う、ダイナミックで統合されたベトナムのイメージを広めることになります。,"Chuyến thăm NYSE không chỉ mở ra cơ hội mới cho Vietjet, HDBank và các doanh nghiệp Việt Nam, mà còn lan tỏa hình ảnh một Việt Nam năng động, hội nhập và khát vọng vươn mình mạnh mẽ trong kỷ nguyên toàn cầu hóa.",https://www.vietnam.vn/ja/doanh-nghiep-viet-khang-dinh-khat-vong-hoi-nhap-go-cua-san-chung-khoan-lon-nhat-the-gioi,https://baochinhphu.vn/doanh-nghiep-viet-khang-dinh-khat-vong-hoi-nhap-go-cua-san-chung-khoan-lon-nhat-the-gioi-102250924020758608.htm,,
140,最新な,さいしんな,"Mới nhất, gần đây nhất",先日、上海（中国）で開催されたHuawei Connect 2025イベントの枠組みの中で、Huaweiエンタープライズビジネスグループのシニアバイスプレジデント兼プレジデントであるレオ・チェン氏が、産業インテリジェンスにおけるHuaweiの最新の実情について見解を共有しました。,"Trong khuôn khổ sự kiện Huawei Connect 2025 diễn ra tại Thượng Hải (Trung Quốc) mới đây, ông Leo Chen – Phó Chủ tịch Cấp cao kiêm Chủ tịch Khối Kinh doanh Doanh nghiệp Huawei đã chia sẻ những góc nhìn về tình hình thực tiễn mới nhất của Huawei về trí tuệ công nghiệp. ",https://www.vietnam.vn/ja/thuc-day-ung-dung-ai-trong-san-xuat-van-hanh-doanh-nghiep,https://doanhnghiepvn.vn/kinh-te/thuc-day-ung-dung-ai-trong-san-xuat-van-hanh-doanh-nghiep/20250925090401159,,
141,楽観的な,らっかんてきな,"Lạc quan, tích cực",私は、銀行株が短期的に底値を形成しつつあるという、より楽観的なシナリオに傾いている。それによって、VN指数がその価格基盤を維持し、近い将来に過去の高値に挑戦する機会が開かれるだろう,"Tôi nghiêng về kịch bản tích cực hơn là các cổ phiếu ngân hàng nhiều khả năng đang trong quá trình tạo đáy ngắn hạn, qua đó hỗ trợ VN-Index giữ nền giá và mở ra cơ hội thử thách đỉnh cũ trong thời gian tới",https://www.vietnam.vn/ja/chung-khoan-co-the-nen-lo-xo-nha-dau-tu-nen-lam-gi,https://vtcnews.vn/chung-khoan-co-the-nen-lo-xo-nha-dau-tu-nen-lam-gi-ar967953.html,,
142,潔白な,けっぱくな,"Trong sạch, vô tội",私は法を犯しておらず、潔白であると思っている,Tôi không hề vi phạm pháp luật nào và tin rằng mình vô tội.,https://www3.nhk.or.jp/news/html/20250904/k10014912061000.html,,,
143,無実な,むじつな,Vô tội,本人は無実だと言って警察が捜査している状況で第三者が判断できる材料はない,"Trong khi chính người đó khẳng định mình vô tội và cảnh sát vẫn đang điều tra, thì bên thứ ba không có cơ sở nào để đưa ra phán đoán.",https://www3.nhk.or.jp/news/html/20250904/k10014912861000.html,,,
144,無念な,むねんな,"Tiếc nuối, hối tiếc",大変無念な思いだが、政府として引き続きさまざまな政策課題への対応に真摯に取り組んでいきたい。,"Tôi cảm thấy vô cùng tiếc nuối, nhưng với tư cách là chính phủ, chúng tôi sẽ tiếp tục nghiêm túc đối phó với nhiều vấn đề chính sách đa dạng.",https://www3.nhk.or.jp/news/html/20250908/k10014916151000.html,,,
145,率直な,そっちょくな,"Thẳng thắn, trực tiếp",...今後も規制は厳格化されていくし、リーズナブルな価格で提供し続けられなくなることが、生産終了の要因だ」と率直に語った。,"Ông thẳng thắn cho biết: “Trong thời gian tới, các quy định sẽ ngày càng nghiêm ngặt hơn, và việc không thể tiếp tục cung cấp với mức giá hợp lý chính là nguyên nhân dẫn đến việc chấm dứt sản xuất.”",https://www3.nhk.or.jp/news/html/20250903/k10014910111000.html,,,
146,真剣な,しんけんな,Nghiêm túc,少し規模を減らしていくといった取り組みを真剣に考えるときにきているのではないか,Chẳng phải đã đến lúc cần nghiêm túc suy nghĩ về việc thực hiện các biện pháp như thu hẹp quy mô hay sao?,https://www3.nhk.or.jp/news/html/20250904/k10014912901000.html,,,
147,真摯な,しんしな,"Chân thành, nghiêm túc",今回の指摘を真摯に受け止め、適正な対応に努めていきます。,Chúng tôi sẽ nghiêm túc tiếp thu những ý kiến chỉ ra lần này và nỗ lực thực hiện các biện pháp ứng xử phù hợp.,https://www3.nhk.or.jp/news/html/20250908/k10014916361000.html,,,
148,財政拡張的な,ざいせいかくちょうてきな,Mang tính mở rộng tài chính,新たな政権が野党との協力を模索する中で財政拡張的な経済政策を進めるのではないかという思惑から、買い注文が広がった一方で、当面の利益をいったん確定しようという売り注文も出た。,"Trong lúc chính quyền mới đang tìm cách hợp tác với phe đối lập, đã xuất hiện kỳ vọng rằng họ sẽ thúc đẩy các chính sách kinh tế theo hướng mở rộng tài khóa. Vì vậy, lệnh mua cổ phiếu lan rộng. Tuy nhiên, cùng lúc đó cũng có những lệnh bán nhằm chốt lợi nhuận tạm thời.",https://www3.nhk.or.jp/news/html/20250908/k10014916251000.html,,,
149,身近な,みぢかな,"Gần gũi, quen thuộc",今回は、暑さが要因となって支出が押し上げられた形となったが、食料など生活に身近な分野では節約志向が見られていて、今後の状況を注視したい,"Lần này, nắng nóng đã trở thành yếu tố khiến chi tiêu tăng lên, nhưng ở các lĩnh vực thiết yếu như thực phẩm lại xuất hiện xu hướng tiết kiệm, vì vậy cần tiếp tục theo dõi sát tình hình trong thời gian tới.",https://www3.nhk.or.jp/news/html/20250905/k10014913531000.html,,,
150,通常な,つうじょうな,"Bình thường, thông thường",九州新幹線西九州ルートをめぐり、長崎県の大石知事らは着工の見通しが立っていない佐賀県内の区間について、通常の新幹線と同じ「フル規格」で早期に整備するよう石破総理大臣に要望しました。,"Liên quan đến tuyến Kyushu Shinkansen nhánh Tây Kyushu, Thống đốc Oishi của tỉnh Nagasaki cùng các bên liên quan đã kiến nghị Thủ tướng Ishiba sớm xây dựng đoạn đi qua tỉnh Saga, vốn chưa có triển vọng khởi công, theo “quy cách đầy đủ” giống như các tuyến Shinkansen thông thường.",https://www3.nhk.or.jp/news/html/20250904/k10014912701000.html,,,
151,過度な,かどな,"Quá mức, quá đáng",過度な返礼品競争を防ぐため...,để ngăn chặn tình trạng cạnh tranh quá mức trong việc tặng quà đáp lễ…,https://www3.nhk.or.jp/news/html/20250904/k10014912901000.html,,,
152,違法な,いほうな,Bất hợp pháp,違法な政治介入だとして、バイデン前大統領と買収計画を審査したアメリカ政府の委員会に対して、命令の無効と審査のやり直しを求めるなど、複数の訴えを起こしていました。,"Với lý do đây là sự can thiệp chính trị bất hợp pháp, đã có nhiều đơn kiện được nộp nhằm yêu cầu hủy bỏ quyết định và tiến hành xem xét lại đối với cựu Tổng thống Biden cũng như ủy ban của chính phủ Mỹ, cơ quan đã thẩm tra kế hoạch mua lại.",https://www3.nhk.or.jp/news/html/20250904/k10014912361000.html,,,
153,適時な,てきじな,"Đúng lúc, kịp thời",いずれにしても経済または財政に関する政策についてすぐれた識見を有する者という観点から任命しており、適時、適切に対応していく,"Dù thế nào đi nữa, việc bổ nhiệm đều dựa trên quan điểm chọn người có kiến thức và tầm nhìn xuất sắc về chính sách kinh tế hoặc tài chính, và chúng tôi sẽ ứng phó kịp thời, thích hợp.",https://www3.nhk.or.jp/news/html/20250903/k10014911061000.html,,,
154,適正な,てきせいな,"Thích hợp, phù hợp",去年からは自治体に対して産地の適正な表示や定期的な調査を求めています。,"Từ năm ngoái, chính quyền đã yêu cầu các địa phương thực hiện việc ghi nhãn xuất xứ một cách phù hợp và tiến hành khảo sát định kỳ.",https://www3.nhk.or.jp/news/html/20250904/k10014912901000.html,,,
155,適法な,てきほうな,hợp pháp,さらに新浪氏が適法だと認識して購入したサプリメントと同一のものかどうかもわからないとしています。,"Ngoài ra, cũng không rõ liệu đó có phải là cùng loại thực phẩm chức năng mà ông Niinami đã cho rằng hợp pháp và đã mua hay không.",https://www3.nhk.or.jp/news/html/20250903/k10014911061000.html,,,
156,金銭的な,きんせんてき,"Tiền tệ, tài chính",一連の訴訟が終結することに対し、当事者間で金銭的対価の授受は行われていないとしています。,"Về việc chấm dứt loạt vụ kiện, phía liên quan cho biết giữa các bên không có bất kỳ khoản thanh toán tiền tệ nào được thực hiện.",https://www3.nhk.or.jp/news/html/20250904/k10014912361000.html,,,
157,鮮明な,せんめいな,"Rõ ràng, minh bạch",トランプ政権の関税措置などの影響で、アメリカ経済を支えてきた労働市場が減速していることが鮮明となりました。,"Do tác động từ các biện pháp thuế quan của chính quyền Trump và những yếu tố khác, sự chững lại của thị trường lao động — vốn là trụ cột của nền kinh tế Mỹ — đã trở nên rõ rệt.",https://www3.nhk.or.jp/news/html/20250905/k10014914891000.html,,,
158,大変な,たいへんな,"Vô cùng, rất",大変参考になりましたいつも大変お世話になっております。 ,Xin chân thành cảm ơn vì luôn nhận được sự hỗ trợ quý báu từ quý vị.,西出ひろ子の「仕事の基本・正しいビジネスメールの書き方」p.110,,,
159,新鮮な,しんせんな,tươi sống,ご地の新鮮な海の幸をご馳走になり、舌鼓を打つばかりでした。 ,"Tôi đã được thưởng thức hải sản tươi ngon của địa phương, ngon đến mức chỉ biết khen nức nở.",西出ひろ子の「仕事の基本・正しいビジネスメールの書き方」p.110,,,
160,貴重な,きちょうな,"quý giá, quý báu",また皆様から貴重なお話を伺うことができましたこと、非常にうれしく思っております。 ,Tôi cũng rất vui vì đã có cơ hội được lắng nghe những chia sẻ quý báu từ mọi người.,西出ひろ子の「仕事の基本・正しいビジネスメールの書き方」p.110,,,
161,格別な,かくべつ,"Khác biệt, đặc biệt",平素より格別のご高配を賜り、誠にありがとうございます。,Xin chân thành cảm ơn sự quan tâm và ưu ái đặc biệt mà quý vị đã dành cho chúng tôi trong suốt thời gian qua.,西出ひろ子の「仕事の基本・正しいビジネスメールの書き方」p.112,,,
162,多忙な,たぼうな,bận rộn,今後ますますご多忙の身になられることと存じますが、くれぐれもご自愛の上、ご活躍されますことをお祈り申し上げます,"Tôi biết rằng trong thời gian tới, quý vị sẽ ngày càng bận rộn hơn, nhưng xin hãy thật chú ý giữ gìn sức khỏe, và tôi chân thành cầu chúc quý vị luôn thành công trong công việc.",西出ひろ子の「仕事の基本・正しいビジネスメールの書き方」p.112,,,
163,失礼な,しつれいな,"Vô phép, khiếm nhã",この度は弊社社員の●●が◆◆様に対し、大変失礼な態度であった由、承りました。 ,Chúng tôi đã nhận được thông tin rằng nhân viên ●● của công ty chúng tôi đã có thái độ vô cùng khiếm nhã đối với quý ◆◆ trong lần này.,西出ひろ子の「仕事の基本・正しいビジネスメールの書き方」p.115,,,
164,不快な,ふかいな,"khó chịu, không hài lòng",◆◆様にご不快な思いをさせてしまいましたこと、誠に申し訳ございませんでした。,Chúng tôi thành thật xin lỗi vì đã khiến quý ◆◆ cảm thấy khó chịu.,西出ひろ子の「仕事の基本・正しいビジネスメールの書き方」p.115,,,
165,厳重な,げんじゅうな,nghiêm khắc,私からも厳重に注意し、本人も深く反省いたしております。 ,Tôi cũng đã nghiêm khắc nhắc nhở và bản thân anh/chị ấy cũng đang rất hối lỗi.,西出ひろ子の「仕事の基本・正しいビジネスメールの書き方」p.115,,,
166,本当な,ほんとうな,thật sự,この度は◎◎賞受賞、本当におめでとうございます。,thật sự xin chúc mừng bạn đã nhận được giải thưởng ◎◎ lần này!,西出ひろ子の「仕事の基本・正しいビジネスメールの書き方」p.116,,,
167,不本意な,ふほんいな,"bất đắc dĩ, miễn cưỡng",本来であれば、直接お目にかかり、お祝いを申し述べるべきところですが、あいにく海外への出張が決まっており、誠に不本意ながら失礼させていただきます。,"Lẽ ra tôi nên trực tiếp gặp anh/chị để chúc mừng, nhưng bất đắc dĩ là tôi đã có lịch công tác ở nước ngoài, nên đành phải thất lễ, mong bạn thông cảm.",西出ひろ子の「仕事の基本・正しいビジネスメールの書き方」p.116,,,
168,残念な,ざんねんな,"tiếc nuối, đáng tiếc",せっかくのお招きにもかかわらず、大変残念ではございますが、あしからずご了承いただけますと幸いです。 ,"Mặc dù rất trân trọng lời mời, nhưng thật đáng tiếc tôi không thể tham dự. Rất mong quý vị thông cảm.",西出ひろ子の「仕事の基本・正しいビジネスメールの書き方」p.116,,,
169,平常な,へいじょうな,Bình thường,平常通り ,như bình thường,西出ひろ子の「仕事の基本・正しいビジネスメールの書き方」p.121,,,
170,急な,きゅうな,"gấp gáp, đột xuất ",本来であれば、直接ご挨拶に伺うべきところですが、急な辞令のため、メールにてのご報告となり、申し訳ありません。 ,"Lẽ ra tôi nên trực tiếp đến chào hỏi, nhưng do quyết định điều chuyển đột xuất nên đành phải thông báo qua email, rất mong được thông cảm.",西出ひろ子の「仕事の基本・正しいビジネスメールの書き方」p.122,,,
171,丁重な,ていちょうな,"lịch sự, trang trọng",〇〇様には身に余るほど、丁重なご挨拶を頂戴し、誠にありがとうございました。 ,Xin chân thành cảm ơn quý 〇〇 đã dành cho tôi lời chào hỏi trang trọng vượt quá sự trông đợi.,西出ひろ子の「仕事の基本・正しいビジネスメールの書き方」p.124,,,
172,有意義な,ゆういぎな,"có ý nghĩa, hữu ích",皆様から貴重なご意見を伺うことができ、大変有意義でした。 ,"Tôi đã có cơ hội lắng nghe những ý kiến quý báu của mọi người, và điều đó thực sự rất hữu ích.",西出ひろ子の「仕事の基本・正しいビジネスメールの書き方」p.126,,,
173,勝手な,かってな,đường đột,誠に勝手ながら弊社での準備の都合もあるため、ご多忙中、恐縮でございますが、早急に返信くださいますよう、お願い申し上げます。,"Chúng tôi thành thật xin lỗi vì sự đường đột này, nhưng do cần sắp xếp công việc chuẩn bị, rất mong anh/chị — dù đang bận — vui lòng phản hồi cho chúng tôi trong thời gian sớm nhất.",西出ひろ子の「仕事の基本・正しいビジネスメールの書き方」p.131,,,
174,最適な,さいてきな,phù hợp nhất,さらに、お客様から直接フィードバックをいただくことが、ニーズと市場に最適な製品へと常に改良を重ねるモチベーションとなっています。,"Ngoài ra, những phản hồi trực tiếp từ họ đã trở thành động lực để tôi không ngừng cải tiến sản phẩm của mình sao cho phù hợp nhất với nhu cầu và thị trường.",https://www.vietnam.vn/ja/the-high-don-bay-kinh-doanh-tu-loi-the-ceo-lam-dai-dien-thuong-hieu,https://vtv.vn/the-high-don-bay-kinh-doanh-tu-loi-the-ceo-lam-dai-dien-thuong-hieu-100250923170136642.htm,,
175,光栄な,こうえいな,vinh dự,弊社サービスについてご検討いただけるとのこと、大変光栄に存じます。 ,Chúng tôi rất vinh dự khi được biết Quý công ty đang xem xét dịch vụ của chúng tôi.,西出ひろ子の「仕事の基本・正しいビジネスメールの書き方」p.139,,,
176,不明な,ふめいな,chưa rõ,何かご不明な点等ございましたら、◆◆までご遠慮なくお問い合わせくださいませ。 ,"Nếu có điểm nào chưa rõ, xin vui lòng đừng ngần ngại liên hệ với ◆◆.",西出ひろ子の「仕事の基本・正しいビジネスメールの書き方」p.141,,,
177,寛容な,かんような,"bao dung, độ lượng",なにとぞ事情をご賢察の上、ご寛容賜りますようお願い申し上げます。 ,"Rất mong quý vị thấu hiểu cho hoàn cảnh, và rộng lòng bỏ qua cho chúng tôi.",西出ひろ子の「仕事の基本・正しいビジネスメールの書き方」p.145,,,
178,万全な,ばんぜんな,"hoàn hảo, triệt để",今後はこのようなことがないよう、万全な対策を講じていただきたくお願いする次第です。 ,"Từ nay về sau, rất mong quý vị thực hiện những biện pháp thật triệt để nhằm tránh lặp lại sự việc như thế này.",西出ひろ子の「仕事の基本・正しいビジネスメールの書き方」p.152,,,
179,正直な,しょうじきな,thành thật,いくつか企画案をご提出いただきましたが、正直に申し上げて、方がイメージするものとは大きく隔たりがございます。 ,"Anh/chị đã gửi cho chúng tôi một vài đề án, nhưng thành thật mà nói, chúng khác khá xa so với mong đợi của chúng tôi.",西出ひろ子の「仕事の基本・正しいビジネスメールの書き方」p.153,,,
180,甚大な,じんだいな,"khổng lồ, nghiêm trọng",報道にて御地の台風被害が甚大だと知り、大変驚いております。 ,"Qua các bản tin, tôi được biết địa phương của quý vị đã chịu thiệt hại nghiêm trọng do cơn bão, tôi thật sự rất bất ngờ.",西出ひろ子の「仕事の基本・正しいビジネスメールの書き方」p.156,,,
181,無事な,ぶじな,"Bình an, vô sự",〇〇様、ならびに従業員の皆様方がご無事であることを心より祈念いたしております。,tôi chân thành cầu chúc cho ông/bà 〇〇 cùng toàn thể nhân viên đều được bình an.,西出ひろ子の「仕事の基本・正しいビジネスメールの書き方」p.156,,,
