STT,Ngữ liệu,Cách đọc,Nghĩa,Câu ví dụ,Dịch,Link (JP),Link (VN),ô đỏ,: bổ sung thông tin
108,弱気な,よわきな,giảm sút,金の長期的な見通しは、特にFRBの利下げサイクルが始まれば依然として明るいものの、短期的なトレンドは弱気です。株式市場の回復、世界経済の成長、リスク資産への資金流入といった要因が、金価格に大きな圧力をかけています。,"Dù triển vọng dài hạn của vàng vẫn tích cực, đặc biệt nếu chu kỳ cắt giảm lãi suất của FED bắt đầu, trong ngắn hạn, xu hướng giảm giá đang chiếm ưu thế. Các yếu tố như sự phục hồi của thị trường chứng khoán, tăng trưởng kinh tế toàn cầu và dòng vốn chuyển sang các tài sản rủi ro cao hơn đang tạo áp lực lớn lên giá vàng.",https://www.vietnam.vn/ja/vang-lao-doc-tham-khoc-nha-dau-tu-chuyen-huong-vi-fed-sap-hanh-dong,https://baoquangnam.vn/vang-lao-doc-tham-khoc-nha-dau-tu-chuyen-huong-vi-fed-sap-hanh-dong-3167485.html,,
109,良好な,りょうこうな,"tốt, tích cực",私の見解では、資本フローに大きな改善が見られない場合、格上げ結果が発表されても市場は依然として慎重な取引に傾くでしょう。結果が良好で、株式市場が新興国市場に格上げされた場合、外国人投資家の動向にも注意を払う必要があります。,"Theo tôi thị trường vẫn sẽ nghiêng về giao dịch thận trọng ngay cả khi kết quả nâng hạng được công bố, khi dòng vốn hiện chưa có nhiều khởi sắc. Nếu kết quả tích cực, thị trường chứng khoán được nâng hạng lên thị trường mới nổi, cũng cần theo dõi thêm động thái của khối ngoại.",https://www.vietnam.vn/ja/chung-khoan-co-the-nen-lo-xo-nha-dau-tu-nen-lam-gi,https://vtcnews.vn/chung-khoan-co-the-nen-lo-xo-nha-dau-tu-nen-lam-gi-ar967953.html,,
110,冷静な,れいせい,"bình tĩnh, điềm tĩnh",イタリア・テック・ウィークでは、AIの波によって世界の株式市場が記録更新を続ける中、多くの人が華々しい発表を待ち望んでいました。しかし、 世界有数の金融機関であるゴールドマン・サックスのCEO、デビッド・ソロモン氏は、異例の冒頭でこう述べました。「私はぐっすり眠れます。毎晩、次に何が起こるのかと心配する必要はありません。」この一見軽い発言はすぐに広まった。ウォール街が興奮に沸き立つ一方で、ソロモン氏は冷静に調整サイクルが近づいていると語ったからだ。,"Tại Tuần lễ Công nghệ Ý, giữa lúc thị trường chứng khoán toàn cầu tiếp tục phá kỷ lục nhờ làn sóng AI, nhiều người chờ đợi những tuyên bố hân hoan. Nhưng David Solomon, CEO của Goldman Sachs - một trong những định chế tài chính quyền lực nhất thế giới - lại chọn cách mở đầu khác thường: “Tôi ngủ rất ngon. Tôi không phải đêm nào cũng lo xem điều gì sẽ xảy ra tiếp theo”. Câu nói tưởng chừng nhẹ tênh ấy nhanh chóng lan truyền, bởi trong khi phố Wall đang ngập trong hưng phấn, Solomon lại điềm tĩnh nói về một chu kỳ điều chỉnh đang đến gần.",https://www.vietnam.vn/ja/ceo-goldman-sachs-canh-bao-bua-tiec-chung-khoan-sap-tan,https://dantri.com.vn/kinh-doanh/ceo-goldman-sachs-canh-bao-bua-tiec-chung-khoan-sap-tan-20251004143423541.htm,,
111,歴史的な,れきしてきな,mang tính lịch sử,この訪問は、シアトルで歴史的な出来事が起こった直後に行われました。,Chuyến thăm diễn ra ngay sau sự kiện lịch sử tại Seattle,https://www.vietnam.vn/ja/doanh-nghiep-viet-khang-dinh-khat-vong-hoi-nhap-go-cua-san-chung-khoan-lon-nhat-the-gioi,https://baochinhphu.vn/doanh-nghiep-viet-khang-dinh-khat-vong-hoi-nhap-go-cua-san-chung-khoan-lon-nhat-the-gioi-102250924020758608.htm,,
112,僅かな,わずかな,"không đáng kể, số lượng nhỏ",10月16日に発表された公式データによると、ドナルド・トランプ大統領が今年初めから一連の新たな関税を課したことで、世界の主要経済国の税収は過去最高に増加したが、米国の財政赤字は過去1年間でわずかに改善した。,"Dữ liệu chính thức công bố ngày 16/10 cho thấy tình hình thâm hụt ngân sách của Mỹ cải thiện không đáng kể trong năm qua, dù nguồn thu từ thuế quan của nền kinh tế hàng đầu thế giới đã tăng cao kỷ lục sau khi Tổng thống Donald Trump áp đặt hàng loạt các mức thuế quan mới kể từ đầu năm.",https://www.vietnam.vn/ja/my-tham-hut-ngan-sach-it-cai-thien-du-nguon-thu-thue-quan-tang-vot,https://vtv.vn/my-tham-hut-ngan-sach-it-cai-thien-du-nguon-thu-thue-quan-tang-vot-100251017142936008.htm,,
113,割高な,わりだかな,giá cao,ウォール街の3営業日連続の下落も市場に影響を与えた。2025年4月以来の上昇局面における株価の割高感への懸念が、引き続き市場心理を圧迫した。,Thị trường cũng chịu tác động khi chứng kiến phố Wall giảm điểm phiên thứ ba liên tiếp. Những lo ngại về việc định giá cổ phiếu quá cao sau đợt tăng kéo dài từ tháng 4/2025 tiếp tục gây sức ép lên tâm lý thị trường.,https://www.vietnam.vn/ja/thi-truong-chau-a-lao-doc-do-lo-ngai-ve-trien-vong-lai-suat-cua-my,https://baotintuc.vn/thi-truong-tien-te/thi-truong-chau-a-lao-doc-do-lo-ngai-ve-trien-vong-lai-suat-cua-my-20250926162111455.htm,,
114,割安な,わりやす,Giá rẻ,銀行株は依然としてキャッシュフローを引き寄せる「磁石」のような存在ではあるものの、数ヶ月にわたる力強い成長を経て、もはや割安とは言えなくなっています。銀行業界による資金供給の増加と記録的な低金利という状況において、バリュエーションが割高になった現在でも、「キング株」は依然として魅力的なのでしょうか？,"Dẫu vẫn là “thỏi nam châm” thu hút dòng tiền, song sau nhiều tháng tăng mạnh, cổ phiếu ngân hàng không còn rẻ. Trong bối cảnh ngành ngân hàng tăng bơm tiền, lãi suất thấp kỷ lục, “cổ phiếu vua” có còn hấp dẫn, khi định giá đã trở nên đắt đỏ hơn?",https://www.vietnam.vn/ja/co-phieu-vua-co-hut-dong-tien-khi-dinh-gia-khong-con-re,https://baodautu.vn/co-phieu-vua-co-hut-dong-tien-khi-dinh-gia-khong-con-re-d359432.html,,
115,さまざまな,さまざまな,"Khác nhau ,trái chiều, thuộc về nhiều loại",2025年末の世界経済の見通しについては、金融機関や国際機関からさまざまな評価が寄せられており、リスクと機会が複雑に絡み合っていることが反映されている。,"Triển vọng kinh tế toàn cầu cuối năm 2025 đang nhận được những đánh giá trái chiều từ các định chế tài chính và tổ chức quốc tế, phản ánh sự đan xen giữa rủi ro và cơ hội.",https://www.vietnam.vn/ja/kinh-te-toan-cau-2025-cac-nen-kinh-te-moi-noi-se-dan-dat-tang-truong,https://laichau.gov.vn/tin-tuc-su-kien/chuyen-de/tin-trong-nuoc/kinh-te-toan-cau-2025-cac-nen-kinh-te-moi-noi-se-dan-dat-tang-truong-.html,,
116,リーズナブルな,リーズナブルな,"Hợp lý, phải chăng","2021年に創業したFuluは、Mixueと非常によく似た戦略、つまり高品質な商品を非常に手頃な価格で提供するという戦略により、中国全土で1,200店舗へと急速に拡大しました。Fulu生ビール500mlはわずか6～10元（約21,000～35,000ドン）です。この「リーズナブルな価格」という理念こそが、Mixueを奇跡的な成功へと導いたDNAなのです。","Fulu, dù mới thành lập năm 2021, đã nhanh chóng nhân rộng lên 1.200 cửa hàng khắp Trung Quốc nhờ một công thức rất giống Mixue: sản phẩm chất lượng với mức giá cực kỳ dễ tiếp cận. Một cốc bia tươi Fulu 500ml có giá chỉ từ 6-10 nhân dân tệ (khoảng 21.000-35.000 đồng). Triết lý ""giá hợp lý"" này chính là DNA đã làm nên thành công thần kỳ của Mixue.",https://www.vietnam.vn/ja/mixue-lan-san-ban-bia-tham-vong-hay-lieu-linh,https://dantri.com.vn/kinh-doanh/mixue-lan-san-ban-bia-tham-vong-hay-lieu-linh-20251015093623067.htm,,
117,不正な,ふせいな,"Bất chính, lừa đảo",リアルタイムの取引監視と顧客への直接警告により、多くの不審な取引が適時に検知・防止されています。また、当局から提供されるデータソースや不正な対象・行為のリストも定期的に更新されており、銀行のリスク識別能力の向上に役立っています。,"Thông qua việc giám sát giao dịch theo thời gian thực và gửi cảnh báo trực tiếp tới khách hàng, nhiều giao dịch đáng ngờ đã được phát hiện, ngăn chặn kịp thời. Nguồn dữ liệu từ cơ quan chức năng cùng danh sách các đối tượng, hành vi lừa đảo cũng được cập nhật thường xuyên, giúp ngân hàng nâng cao năng lực nhận diện rủi ro.",https://www.vietnam.vn/ja/ngan-hang-gia-tang-lop-bao-ve-khach-hang-truoc-cac-giao-dich-dang-ngo,https://baotintuc.vn/kinh-te/ngan-hang-gia-tang-lop-bao-ve-khach-hang-truoc-cac-giao-dich-dang-ngo-20251023160712491.htm,,
118,世界的な,せかいてきな,"Mang tính toàn cầu, thế giới",世界的な課題にもかかわらず、ベトナムの経済は2025年の最初の数か月で依然として目覚ましい成長を遂げ、2025年から2026年の期間も引き続き好調を維持しました。,"Bất chấp thách thức trên thế giới, nền kinh tế Việt Nam vẫn tăng trưởng ấn tượng trong những tháng đầu năm 2025 và tiếp tục vững vàng trong giai đoạn 2025–2026.",https://www.vietnam.vn/ja/kinh-te-viet-nam-tang-truong-vung-vang-bat-chap-thach-thuc-tren-toan-cau,https://baoquangninh.vn/kinh-te-viet-nam-tang-truong-vung-vang-bat-chap-thach-thuc-tren-toan-cau-3378062.html,,
119,優良な,ゆうりょうな,"Tốt, xuất sắc, giỏi",ドンホイ区では、農民が生産と経営において競い合う運動から、互いに助け合いながら豊かになり、持続的に貧困を削減するという、連帯の典型的な事例が数多く生まれています。多くの優良な事業家が企業や協同組合を設立し、規模の拡大と生産・経営効率の向上を図っています。これにより、地域社会の経済発展の促進、新農村の建設、文明化された都市の建設に貢献しています。,"Từ phong trào nông dân thi đua sản xuất, kinh doanh (SXKD) giỏi, trên địa bàn phường Đồng Hới đã xuất hiện nhiều điển hình trong đoàn kết giúp nhau làm giàu và giảm nghèo bền vững. Nhiều hộ kinh doanh giỏi đã thành lập doanh nghiệp, hợp tác xã (HTX) nhằm mở rộng quy mô, tăng hiệu quả SXKD. Qua đó, góp phần thúc đẩy phát triển kinh tế-xã hội, xây dựng nông thôn mới, đô thị văn minh ở địa phương.",https://www.vietnam.vn/ja/de-phat-trien-cac-mo-hinh-kinh-te-tap-the,https://baoquangtri.vn/kinh-te/202510/de-phat-trien-cac-mo-hinh-kinh-te-tap-the-516465a/,,
120,全面的な,ぜんめんてきな,Toàn diện,経済財政委員会委員長は、2021～2025年期における経済構造改革の5つの重点任務の遂行は、前期よりも積極的かつ全面的な成果を達成したと強調した。達成された成果は、2021～2025年期の経済構造改革プロセスが地域、分野、領域間でより大きく、包括的に、より同期的に変化し、資源の配分と利用の効率が向上し、新たな成長原動力が徐々に形成され、安定したマクロ経済基盤の強化、経済の自立性、回復力、競争力の向上に貢献していることを示すものである。,"Chủ nhiệm Ủy ban Kinh tế và Tài chính nhấn mạnh, việc thực hiện 5 nhóm nhiệm vụ trọng tâm cơ cấu lại nền kinh tế giai đoạn 2021 - 2025 đạt nhiều kết quả tích cực, toàn diện hơn so với giai đoạn trước. Các kết quả đạt được cho thấy quá trình cơ cấu lại nền kinh tế giai đoạn 2021 - 2025 đang chuyển biến thực chất, toàn diện và đồng bộ hơn giữa các khu vực, lĩnh vực và vùng, miền; hiệu quả phân bổ, sử dụng nguồn lực được nâng cao; các động lực tăng trưởng mới từng bước hình thành, góp phần củng cố nền tảng kinh tế vĩ mô ổn định, tăng cường năng lực tự chủ, sức chống chịu và sức cạnh tranh của nền kinh tế",https://www.vietnam.vn/ja/day-manh-co-cau-lai-nen-kinh-te-gan-voi-doi-moi-mo-hinh-tang-truong,https://daibieunhandan.vn/day-manh-co-cau-lai-nen-kinh-te-gan-voi-doi-moi-mo-hinh-tang-truong-10391111.html,,
121,公正な,こうせいな,Công bằng,ビジネス界の代表者は、ベトナムの企業が成功し、国にもっと貢献できるよう、透明かつ公正なビジネス環境を期待している。,"Đại diện các doanh nghiệp kỳ vọng môi trường kinh doanh minh bạch, công bằng để doanh nghiệp Việt bứt phá và cống hiến nhiều hơn cho đất nước.",https://www.vietnam.vn/ja/loat-doanh-nghiep-viet-ky-vong-co-hoi-va-san-choi-cong-bang-de-cong-hien,https://dantri.com.vn/kinh-doanh/loat-doanh-nghiep-viet-ky-vong-co-hoi-va-san-choi-cong-bang-de-cong-hien-20251013162945890.htm,,
122,合法な,ごうほうな,hợp pháp,暗号資産におけるマネーロンダリングも非常に一般的です。国家証券委員会の代表者は、暗号資産市場におけるマネーロンダリングの兆候を数多く指摘しています。例えば、暗号資産取引所の緩い認証システムを悪用する（偽造文書の使用/匿名取引の許可）、違法な暗号資産を合法な暗号資産と混合する、違法な暗号資産を非公開の暗号資産（プライバシーコイン）に価値を移転して合法的な暗号資産と交換することで合法化する、ブロックチェーン間で暗号資産を転送し、取引ブリッジを使用して追跡可能性を複雑にする（チェーンホッピング/クロスチェーンブリッジ）などです。,"Đối với tài sản mã hóa, hành vi rửa tiền cũng diễn ra khá phổ biến. Đại diện Ủy ban Chứng khoán Nhà nước đã chỉ ra nhiều dấu hiệu nhận diện hành vi rửa tiền trên thị trường tài sản mã hóa.Chẳng hạn như lợi dụng hệ thống xác thực lỏng lẻo của sàn giao dịch tài sản mã hóa (sử dụng giấy tờ giả/cho phép giao dịch ẩn danh); trộn tài sản mã hóa phi pháp với hợp pháp; hợp pháp hóa tài sản mã hóa phi pháp bằng việc chuyển giá trị sang tài sản mã hóa cá nhân (privacy coin) để hoán đổi với tài sản mã hóa hợp pháp; chuyển tài sản mã hóa giữa các blockchain và sử dụng các cầu giao dịch để phức tạp hóa luồng truy vết (Chain-hopping/Cross-chain Bridge).",https://www.vietnam.vn/ja/ngan-hang-bat-dong-san-tai-san-ma-hoa-tiem-an-nguy-co-rua-tien-cao,https://baodautu.vn/ngan-hang-bat-dong-san-tai-san-ma-hoa-tiem-an-nguy-co-rua-tien-cao-d414294.html,,
123,合理的な,ごうりてきな,"Hợp lý, có lý",グエン・ヴァン・フン博士は、特別消費税法案における増税案は慎重に評価する必要があると指摘した。複数の案を選択する場合は、市場と飲料業界の生産チェーンに「ショック」を与えないよう、より合理的な増税幅を持つ案1を優先すべきである。,"TS Nguyễn Văn Phụng lưu ý rằng các phương án tăng thuế trong dự thảo Luật thuế tiêu thụ đặc biệt cần phải được đánh giá kỹ lưỡng. Nếu lựa chọn giữa các phương án, nên ưu tiên phương án 1 là có mức tăng hợp lý hơn, tránh gây ""sốc"" tới thị trường và chuỗi sản xuất ngành đồ uống.",https://www.vietnam.vn/ja/chinh-sach-thue-can-lo-trinh-hop-ly-ho-tro-tang-truong-kinh-te,https://baochinhphu.vn/chinh-sach-thue-can-lo-trinh-hop-ly-ho-tro-tang-truong-kinh-te-102250422175313842.htm,,
124,喫緊な,きっきんな,"cấp thiết, khẩn cấp",ホアセン大学副学長のドアン・ゴック・デュイ理学士は次のように述べた。 第15期国会第10回会議において、ファム・ミン・チン首相は、戦略的に重要な2つの課題を特定するよう指示しました。1つは、国際基準を満たす半導体および人工知能（AI）技術者10万人の育成、もう1つは、全国民のデジタル能力向上を目的とした「デジタルリテラシー向上プログラム」の同時実施です。これらは重要な目標であり、育成方法、調整メカニズム、そして実際の生産性による成果測定について、喫緊の課題を提起しています。,"ThS. Đoàn Ngọc Duy, Phó Hiệu trưởng Trường Đại học Hoa Sen cho biết, tại Kỳ họp thứ 10, Quốc hội khóa XV, Thủ tướng Chính phủ Phạm Minh Chính đã có chỉ đạo xác định hai nhiệm vụ có ý nghĩa chiến lược: Đào tạo 100.000 kỹ sư bán dẫn và trí tuệ nhân tạo đạt chuẩn quốc tế, đồng thời triển khai chương trình ""Bình dân học vụ số"" nhằm nâng cao năng lực số toàn dân. Đây là những mục tiêu quan trọng, đặt ra yêu cầu cấp thiết về phương thức đào tạo, cơ chế phối hợp và thước đo kết quả bằng năng suất thực tế.",https://www.vietnam.vn/ja/chinh-phu-dong-hanh-kien-tao-tao-nen-tang-vung-chac-cho-dat-nuoc-buoc-vao-ky-nguyen-moi,https://baochinhphu.vn/chinh-phu-dong-hanh-kien-tao-tao-nen-tang-vung-chac-cho-dat-nuoc-buoc-vao-ky-nguyen-moi-102251021182610232.htm,,
125,国際的な,こくさいてきな,Mang tính quốc tế,ベトジェット会長は、ベトナム企業を国際舞台に導き、ニューヨークの世界最大の証券取引所に上場し、国際的な資本動員チャネルを拡大し、国際金融地図におけるベトナムの地位を確固たるものにしたいとの希望を表明した。,"Chủ tịch Vietjet bày tỏ khát vọng đưa doanh nghiệp Việt Nam vươn ra sân chơi toàn cầu, hiện diện tại sàn chứng khoán lớn nhất thế giới ở New York, mở rộng kênh huy động vốn quốc tế và khẳng định vị thế Việt Nam trên bản đồ tài chính toàn cầu. ",https://www.vietnam.vn/ja/doanh-nghiep-viet-khang-dinh-khat-vong-hoi-nhap-go-cua-san-chung-khoan-lon-nhat-the-gioi,https://baochinhphu.vn/doanh-nghiep-viet-khang-dinh-khat-vong-hoi-nhap-go-cua-san-chung-khoan-lon-nhat-the-gioi-102250924020758608.htm,,
126,圧倒的な,あっとうてきな,Áp đảo,ベトナム・世界経済研究所のチャン・ディン・ヌオイ所長は、民間経済が圧倒的な量（企業総数の97.5%を占める）とGDPへの貢献度（2020年の40.8%から2025年には43.7%に増加）を誇り、ベトナムの新たな成長の柱となっていると指摘した。特に、中堅・大企業は全体のわずか4%を占めるに過ぎないが、民間部門全体の生産額と付加価値の約50%を占めており、その「牽引役」としての役割を担っている。 ,"Thạc sỹ Trần Đình Nuôi, Viện Kinh tế Việt Nam và Thế giới chỉ ra kinh tế tư nhân là trụ cột tăng trưởng mới của Việt Nam với sự áp đảo về số lượng (chiếm 97,5% tổng doanh nghiệp) và vai trò ngày càng tăng trong đóng góp vào GDP (từ 40,8% năm 2020 lên 43,7% năm 2025). Đặc biệt, các doanh nghiệp vừa và lớn chỉ chiếm 4% số lượng nhưng lại đóng góp khoảng 50% tổng giá trị sản xuất và giá trị gia tăng của khu vực tư nhân, điều này cho thấy vai trò “đầu tàu” của họ.",https://www.vietnam.vn/ja/tang-truong-kinh-te-2025-quyet-tam-vuot-thach-thuc-but-pha-toan-dien,https://baothanhhoa.vn/tang-truong-kinh-te-2025-quyet-tam-vuot-thach-thuc-but-pha-toan-dien-258182.htm,,
127,将来的な,しょうらいてきな,"Trong tương lai, trong thời gian tới",ベトナムのデジタル経済は年間20%以上成長し、GDPの18.3%を占め、東南アジアで最も急速に成長している国となっています。小売電子商取引は250億米ドルに達し、20%増加しました。非現金決済は年間50%以上増加しました。また、ベトナムは情報セキュリティにおいても194カ国中17位の「モデル」グループにランクインしました。プロジェクト06は着実に実施され、将来的な国家データセンター建設の基盤を築き、生活、経済、社会の多くの側面に大きな価値をもたらしています。,"Kinh tế số của Việt Nam tăng trưởng hơn 20%/năm, chiếm 18,3% GDP, là quốc gia có tốc độ tăng trưởng nhanh nhất Đông Nam Á; thương mại điện tử bán lẻ đạt 25 tỷ USD, tăng 20%; thanh toán không dùng tiền mặt tăng hơn 50%/năm. Việt Nam cũng xếp hạng 17/194 quốc gia về an toàn thông tin, thuộc nhóm ""Hình mẫu"". Đề án 06 được triển khai hiệu quả, là tiền đề để xây dựng Trung tâm dữ liệu quốc gia trong thời gian tới, mang lại giá trị to lớn cho nhiều mặt đời sống, kinh tế - xã hội.",https://www.vietnam.vn/ja/chi-so-xep-hang-chinh-phu-so-kinh-te-so-cua-viet-nam-tang-vuot-bac,https://baodongkhoi.vn/chi-so-xep-hang-chinh-phu-so-kinh-te-so-cua-viet-nam-tang-vuot-bac-06022025-a141980.html,,
128,巨額な,きょがくな,"số tiền lớn, khổng lồ",世界で最も裕福な億万長者のイーロン・マスク氏は、苦戦する電気自動車メーカー、テスラの取締役会がマスク氏の集中力を保つために最高経営責任者（CEO）への巨額の新たな報酬パッケージを発表したことを受け、初の兆万長者になる可能性がある。,"Tỷ phú Elon Musk, người giàu nhất thế giới, có thể trở thành tỷ phú nghìn tỷ đầu tiên sau khi hội đồng quản trị Tesla công bố gói lương mới khổng lồ dành cho CEO, nhằm giữ ông tập trung vào nhà sản xuất xe điện đang gặp khó khăn.",https://www.vietnam.vn/ja/ong-elon-musk-co-the-thanh-ty-phu-nghin-ty-nho-goi-luong-khung-cua-tesla,https://baovanhoa.vn/kinh-te/ong-elon-musk-co-the-thanh-ty-phu-nghin-ty-nho-goi-luong-khung-cua-tesla-166418.html,,
129,徹底的な,てっていてきな,"Triệt để, kỹ lưỡng",延滞債権、不良債権、リスク管理済みの債権については、定期的にモニタリングを行い、徹底的に回収する必要がある。,"Các khoản nợ quá hạn, nợ xấu, nợ đã xử lý rủi ro cần được theo dõi thường xuyên và thu hồi triệt để.",https://www.vietnam.vn/ja/nhieu-vi-pham-tai-agribank-khu-cong-nghiep-song-than,https://doanhnghiepvn.vn/kinh-te/nhieu-vi-pham-tai-agribank-khu-cong-nghiep-song-than/20251007014226558,,
,定期的な,ていきてきな,"định kì, thường xuyên",延滞債権、不良債権、リスク管理済みの債権については、定期的にモニタリングを行い、徹底的に回収する必要がある。,"Các khoản nợ quá hạn, nợ xấu, nợ đã xử lý rủi ro cần được theo dõi thường xuyên và thu hồi triệt để.",https://www.vietnam.vn/ja/nhieu-vi-pham-tai-agribank-khu-cong-nghiep-song-than,https://doanhnghiepvn.vn/kinh-te/nhieu-vi-pham-tai-agribank-khu-cong-nghiep-song-than/20251007014226558,,
131,恣意的な,しいてきな,"tùy tiện, độc đoán",「企業の時間を浪費し、嫌がらせやネガティブな反応につながりやすい、無作為で恣意的な検査に代わる、リスク管理に基づいた事後検査メカニズムの追加を提案します。したがって、政府機関はリスク評価の基準を策定し、高リスク企業には高い頻度で、低リスク企業には低い頻度で検査を実施する必要があります」と、シ・ドン代表は提案した。 ,"“Tôi đề nghị bổ sung cơ chế hậu kiểm theo quản lý rủi ro, chứ không kiểm tra tùy tiện, tùy hứng, gây mất thời gian của doanh nghiệp và dễ nảy sinh nhũng nhiễu, tiêu cực. Theo đó, cơ quan nhà nước phải xây dựng tiêu chí đánh giá rủi ro và kiểm tra doanh nghiệp theo tần suất cao đối với doanh nghiệp rủi ro cao và tần suất thấp hơn đối với doanh nghiệp rủi ro thấp”, đại biểu Sỹ Đồng kiến nghị.",https://www.vietnam.vn/ja/bo-sung-co-che-hau-kiem-doanh-nghiep-theo-quan-ly-rui-ro-de-tranh-kiem-tra-tuy-tien,https://hanoimoi.vn/bo-sung-co-che-hau-kiem-doanh-nghiep-theo-quan-ly-rui-ro-de-tranh-kiem-tra-tuy-tien-702882.html,,
132,持続可能な,じぞくかのうな,Bền vững,CEOのTruong Hien氏とThe Highは、リーダーが自らの評判とストーリーをブランドに反映させることで、持続可能で深みのあるビジネス戦略を構築できることを明確に示しています。,"CEO Trương Hiền và The High là minh chứng rõ ràng cho thấy khi người đứng đầu sẵn sàng đặt uy tín và câu chuyện của mình vào thương hiệu, sẽ tạo ra một chiến lược kinh doanh bền vững và sâu sắc.",https://www.vietnam.vn/ja/the-high-don-bay-kinh-doanh-tu-loi-the-ceo-lam-dai-dien-thuong-hieu,https://vtv.vn/the-high-don-bay-kinh-doanh-tu-loi-the-ceo-lam-dai-dien-thuong-hieu-100250923170136642.htm,,
133,新たな,あらたな,mới mẻ,NYSEへの訪問は、ベトジェット、HDバンク、ベトナム企業に新たな機会をもたらすだけでなく、グローバル化の時代に繁栄しようと強く願う、ダイナミックで統合されたベトナムのイメージを広めることになります。,"Chuyến thăm NYSE không chỉ mở ra cơ hội mới cho Vietjet, HDBank và các doanh nghiệp Việt Nam, mà còn lan tỏa hình ảnh một Việt Nam năng động, hội nhập và khát vọng vươn mình mạnh mẽ trong kỷ nguyên toàn cầu hóa.",https://www.vietnam.vn/ja/doanh-nghiep-viet-khang-dinh-khat-vong-hoi-nhap-go-cua-san-chung-khoan-lon-nhat-the-gioi,https://baochinhphu.vn/doanh-nghiep-viet-khang-dinh-khat-vong-hoi-nhap-go-cua-san-chung-khoan-lon-nhat-the-gioi-102250924020758608.htm,,
134,最新な,さいしんな,"Mới nhất, gần đây nhất",先日、上海（中国）で開催されたHuawei Connect 2025イベントの枠組みの中で、Huaweiエンタープライズビジネスグループのシニアバイスプレジデント兼プレジデントであるレオ・チェン氏が、産業インテリジェンスにおけるHuaweiの最新の実情について見解を共有しました。,"Trong khuôn khổ sự kiện Huawei Connect 2025 diễn ra tại Thượng Hải (Trung Quốc) mới đây, ông Leo Chen – Phó Chủ tịch Cấp cao kiêm Chủ tịch Khối Kinh doanh Doanh nghiệp Huawei đã chia sẻ những góc nhìn về tình hình thực tiễn mới nhất của Huawei về trí tuệ công nghiệp. ",https://www.vietnam.vn/ja/thuc-day-ung-dung-ai-trong-san-xuat-van-hanh-doanh-nghiep,https://doanhnghiepvn.vn/kinh-te/thuc-day-ung-dung-ai-trong-san-xuat-van-hanh-doanh-nghiep/20250925090401159,,
135,楽観的な,らっかんてきな,"Lạc quan, tích cực",私は、銀行株が短期的に底値を形成しつつあるという、より楽観的なシナリオに傾いている。それによって、VN指数がその価格基盤を維持し、近い将来に過去の高値に挑戦する機会が開かれるだろう,"Tôi nghiêng về kịch bản tích cực hơn là các cổ phiếu ngân hàng nhiều khả năng đang trong quá trình tạo đáy ngắn hạn, qua đó hỗ trợ VN-Index giữ nền giá và mở ra cơ hội thử thách đỉnh cũ trong thời gian tới",https://www.vietnam.vn/ja/chung-khoan-co-the-nen-lo-xo-nha-dau-tu-nen-lam-gi,https://vtcnews.vn/chung-khoan-co-the-nen-lo-xo-nha-dau-tu-nen-lam-gi-ar967953.html,,
136,率直な,そっちょくな,"Thẳng thắn, trực tiếp",書記長は、政府党委員会の報告で指摘された欠点や限界について、「真実を直視し、真実を正しく評価し、真実を明確に述べる」というオープンで率直な精神を高く評価した。特に、マクロ経済は依然として潜在的なリスクを抱えており、経済構造改革と成長の質の向上は依然として遅れている。インフラ整備、特に交通、都市部、医療、教育、デジタルインフラは未整備である。制度や法律にも依然として多くの問題があり、地方分権、権限委譲、行政手続き改革は必ずしも十分には進んでいない。一部の分野における国家管理の有効性は依然として限定的である。人材の質、特にハイテク産業は、依然として要求を満たしていない。,"Tổng Bí thư đánh giá rất cao tinh thần cầu thị, thẳng thắn ""nhìn thẳng vào sự thật, đánh giá đúng sự thật, nói rõ sự thật"" đối với những tồn tại, hạn chế như đã nêu trong báo cáo của Đảng ủy Chính phủ. Trong đó kinh tế vĩ mô còn tiềm ẩn rủi ro, cơ cấu lại nền kinh tế, nâng cao chất lượng tăng trưởng còn chậm; hạ tầng chưa đồng bộ, nhất là giao thông, đô thị, y tế, giáo dục, hạ tầng số. Thể chế, pháp luật còn nhiều vướng mắc; phân cấp, phân quyền và cải cách thủ tục hành chính chưa thật mạnh mẽ; hiệu quả quản lý nhà nước một số lĩnh vực còn hạn chế. Chất lượng nguồn nhân lực, nhất là trong các ngành công nghệ cao, chưa đáp ứng yêu cầu...",https://www.vietnam.vn/ja/dua-viet-nam-vao-nhom-30-nen-kinh-te-hang-dau-the-gioi,https://thanhnien.vn/dua-viet-nam-vao-nhom-30-nen-kinh-te-hang-dau-the-gioi-185251014000207773.htm,,
